User_type,City ,Tier,Salary,Family_Size,Lifestyle,Rent ,Food,Transport,Entertainment,Other_Exp,Savings
Student/Intern,Jaipur,Tier 2,24033,1,Low,2643.63,6085.61,1711,720.99,1922.64,10949.13
Working Professional,Kolkata,Tier 1-Standard,235071,4,Medium,63469.17,53715.62,1682,28208.52,25857.81,62137.88
Working Professional,Visakhapatnam,Tier 2,241185,2,Medium,31354.05,30942.2,1945,14471.1,14471.1,148001.55
Working Professional,Mumbai,Tier 1-Elite,219731,4,Medium,94484.33,26170.41,6161,19775.79,17578.48,55560.99
Working Professional,Pune,Tier 1-Standard,280814,1,Medium,73011.64,63779.08,1458,22465.12,33697.68,86402.48
Working Professional,Nagpur,Tier 2,285521,4,Medium,45683.36,56248.99,1662,31407.31,22841.68,127677.66
Working Professional,Indore,Tier 2,121949,5,Medium,18292.35,16633.88,4166,10975.41,9755.92,62125.44
Working Professional,Patna,Tier 2,204683,3,Medium,36842.94,36796.11,2229,12280.98,12280.98,104252.99
Working Professional,Bangalore,Tier 1-Elite,283517,4,Medium,113406.8,58703.4,5693,22681.36,42527.55,40504.89
Student/Intern,Bhopal,Tier 2,21124,1,Low,2746.12,5168.6,3480,1478.68,2957.36,5293.24
Working Professional,Hyderabad,Tier 1-Standard,247455,5,Medium,56914.65,56440.1,1496,24745.5,17321.85,90536.9
Student/Intern,Indore,Tier 2,33312,1,Low,6662.4,5331.2,4327,666.24,2998.08,13327.08
Working Professional,Mumbai,Tier 1-Elite,163135,4,Medium,58728.6,36258.35,4314,14682.15,8156.75,40995.15
Working Professional,Chennai,Tier 1-Standard,100412,1,Medium,33135.96,13045.32,3723,6024.72,7028.84,37454.16
Student/Intern,Bhopal,Tier 2,24694,1,Low,2716.34,7432.68,1754,493.88,1481.64,10815.46
Student/Intern,Delhi,Tier 1-Elite,32790,1,Low,11804.4,6590.6,10318,1639.5,2295.3,142.2
Student/Intern,Chandigarh,Tier 1-Standard,34976,1,Low,9793.28,6546.88,1037,2448.32,1748.8,13401.72
Student/Intern,Visakhapatnam,Tier 2,7929,1,Low,951.48,3585.8,3804,555.03,555.03,-1522.34
Student/Intern,Bangalore,Tier 1-Elite,26960,1,Low,8627.2,6044,8532,1887.2,2156.8,-287.2
Student/Intern,Lucknow,Tier 2,22782,1,Low,3417.3,4278.2,1361,455.64,2506.02,10763.84
Student/Intern,Chennai,Tier 1-Standard,19792,1,Low,6135.52,6354.24,1183,1583.36,2968.8,1567.08
Student/Intern,Chennai,Tier 1-Standard,17950,1,Low,4667,4333.5,1656,897.5,1077,5319
Student/Intern,Visakhapatnam,Tier 2,9230,1,Low,1292.2,3015.3,4030,738.4,1199.9,-1045.8
Working Professional,Lucknow,Tier 2,230544,1,Medium,29970.72,48108.8,2154,23054.4,29970.72,97285.36
Working Professional,Jaipur,Tier 2,160737,3,Medium,20895.81,34147.4,3131,17681.07,9644.22,75237.5
Student/Intern,Gurgaon,Tier 1-Elite,16740,1,Low,7867.8,4845.8,3566,1339.2,1674,-2552.8
Working Professional,Kochi,Tier 2,277816,4,Medium,47228.72,35337.92,2356,16668.96,16668.96,159555.44
Working Professional,Chandigarh,Tier 1-Standard,136972,3,Medium,35612.72,30764.12,3742,13697.2,10957.76,42198.2
Working Professional,Patna,Tier 2,90701,1,Medium,17233.19,21047.21,3678,10884.12,10884.12,26974.36
Student/Intern,Delhi,Tier 1-Elite,16998,1,Low,8499,5739.56,4805,679.92,1699.8,-4425.28
Working Professional,Indore,Tier 2,233845,2,Medium,42092.1,51107.45,4033,23384.5,30399.85,82828.1
Working Professional,Kochi,Tier 2,162710,4,Medium,24406.5,26406.5,2143,17898.1,14643.9,77212
Student/Intern,Kochi,Tier 2,23358,1,Low,4671.6,4802.96,4403,1401.48,1635.06,6443.9
Working Professional,Indore,Tier 2,200428,1,Medium,40085.6,34068.48,3125,18038.52,30064.2,75046.2
Student/Intern,Jaipur,Tier 2,24818,1,Low,4467.24,5474.52,1469,1240.9,3226.34,8940
Working Professional,Delhi,Tier 1-Elite,244739,2,Medium,122369.5,43605.63,4580,14684.34,29368.68,30130.85
Student/Intern,Lucknow,Tier 2,21845,1,Low,2184.5,4184.5,2175,1310.7,2184.5,9805.8
Student/Intern,Nagpur,Tier 2,7563,1,Low,1436.97,2756.3,2537,151.26,1134.45,-452.98
Working Professional,Visakhapatnam,Tier 2,205298,5,Medium,39006.62,36900.66,4292,14370.86,22582.78,88145.08
Student/Intern,Mumbai,Tier 1-Elite,34843,1,Low,16724.64,9317.03,7973,1742.15,3135.87,-4049.69
Working Professional,Hyderabad,Tier 1-Standard,262124,1,Medium,83879.68,28212.4,4037,31454.88,26212.4,88327.64
Student/Intern,Patna,Tier 2,21560,1,Low,3234,6743.2,3645,862.4,1293.6,5781.8
Working Professional,Kochi,Tier 2,251358,1,Medium,27649.38,37190.12,1246,22622.22,32676.54,129973.74
Working Professional,Patna,Tier 2,73478,2,Medium,11021.7,17430.38,2881,4408.68,4408.68,33327.56
Working Professional,Bhopal,Tier 2,260220,5,Medium,46839.6,38430.8,1697,26022,26022,121208.6
Student/Intern,Kochi,Tier 2,8733,1,Low,960.63,3135.29,2972,261.99,436.65,966.44
Working Professional,Gurgaon,Tier 1-Elite,262941,2,Medium,131470.5,28294.1,1630,31552.92,21035.28,48958.2
Working Professional,Jaipur,Tier 2,202171,2,Medium,32347.36,36369.07,1696,14151.97,22238.81,95367.79
Working Professional,Indore,Tier 2,210519,5,Medium,23157.09,25157.09,4228,18946.71,12631.14,126398.97
Student/Intern,Pune,Tier 1-Standard,12088,1,Low,4109.92,3692.32,2481,604.4,725.28,475.08
Working Professional,Noida,Tier 1-Standard,190685,1,Medium,66739.75,22975.35,1208,11441.1,28602.75,59718.05
Working Professional,Nagpur,Tier 2,161074,2,Medium,30604.06,18107.4,4144,16107.4,12885.92,79225.22
Working Professional,Visakhapatnam,Tier 2,47869,4,Medium,7659.04,7265.59,1609,5265.59,6222.97,19846.81
Working Professional,Indore,Tier 2,224921,2,Medium,29239.73,44734.99,3343,26990.52,11246.05,109366.71
Working Professional,Visakhapatnam,Tier 2,230224,2,Medium,36835.84,43440.32,2625,23022.4,27626.88,96673.56
